tenXeMay;tenAnh;giaNhap;heSoBan;thoiGianBaoHanh;soPhanKhoi;mauXe;tenLoaiXe;tenDongXe;tenXuatXu
SIRIUS PHIÊN BẢN PHANH ĐĨA;SIRIUS PHIÊN BẢN PHANH ĐĨA.png;19800000;5;36;110;Đen,Đỏ,Trắng;Xe số;Sirius;Thái Lan,Nhật Bản,Việt Nam
SIRIUS PHIÊN BẢN PHANH CƠ;SIRIUS PHIÊN BẢN PHANH CƠ.png;18800000;5;36;110;Đen,Đỏ,Trắng;Xe số;Sirius;Thái Lan,Nhật Bản,Việt Nam
GRANDE BLUE CORE HYBRID PHIÊN BẢN GIỚI HẠN;GRANDE BLUE CORE HYBRID PHIÊN BẢN GIỚI HẠN.png;50000000;5;36;125;Bạc,Đen nhám,Xanh nhám;Xe tay ga;Grande;Thái Lan,Nhật Bản,Việt Nam
GRANDE BLUE CORE HYBRID PHIÊN BẢN TIÊU CHUẨN;GRANDE BLUE CORE HYBRID PHIÊN BẢN TIÊU CHUẨN.png;45500000;5;36;125;Đỏ-đen,Trắng,Đen;Xe tay ga;Grande;Thái Lan,Nhật Bản,Việt Nam
GRANDE BLUE CORE HYBRID PHIÊN BẢN ĐẶC BIỆT;GRANDE BLUE CORE HYBRID PHIÊN BẢN ĐẶC BIỆT.png;49500000;5;36;125;Đỏ,Trắng,Xám;Xe tay ga;Grande;Thái Lan,Nhật Bản,Việt Nam
GRANDE BLUE CORE PHIÊN BẢN ĐẶC BIỆT (PREMIUM);GRANDE BLUE CORE PHIÊN BẢN ĐẶC BIỆT (PREMIUM).png;43990000;5;36;125;Trắng,Xám,Xanh,Đen nhám;Xe tay ga;Grande;Thái Lan,Nhật Bản,Việt Nam
GRANDE BLUE CORE PHIÊN BẢN CAO CẤP (DELUXE);GRANDE BLUE CORE PHIÊN BẢN CAO CẤP (DELUXE).png;41990000;5;36;125;Xanh lá,Xanh ngọc,Xanh dương,Đỏ;Xe tay ga;Grande;Thái Lan,Nhật Bản,Việt Nam
LATTE PHIÊN BẢN GIỚI HẠN;LATTE PHIÊN BẢN GIỚI HẠN.png;37990000;5;36;125;Bạc;Xe tay ga;Latte;Thái Lan,Nhật Bản,Việt Nam
LATTE PHIÊN BẢN TIÊU CHUẨN;LATTE PHIÊN BẢN TIÊU CHUẨN.png;37490000;5;36;125;Đỏ,Trắng,Đen;Xe tay ga;Latte;Thái Lan,Nhật Bản,Việt Nam
JANUS PHIÊN BẢN GIỚI HẠN (LIMITED);JANUS PHIÊN BẢN GIỚI HẠN (LIMITED).png;31990000;5;36;125;Trắng,Đen,Đỏ;Xe tay ga;Janus;Thái Lan,Nhật Bản,Việt Nam
JANUS PHIÊN BẢN TIÊU CHUẨN (STANDARD);JANUS PHIÊN BẢN TIÊU CHUẨN (STANDARD).png;27990000;5;36;125;Đỏ,Trắng,Xám;Xe tay ga;Janus;Thái Lan,Nhật Bản,Việt Nam
JANUS PHIÊN BẢN ĐẶC BIỆT (PREMIUM);JANUS PHIÊN BẢN ĐẶC BIỆT (PREMIUM).png;31490000;5;36;125;Xanh,Đỏ,Trắng;Xe tay ga;Janus;Thái Lan,Nhật Bản,Việt Nam
NVX 155 VVA THẾ HỆ II PHIÊN BẢN GIỚI HẠN MONSTER ENERGY YAMAHA MOTOGP;NVX 155 VVA THẾ HỆ II PHIÊN BẢN GIỚI HẠN MONSTER ENERGY YAMAHA MOTOGP.png;54000000;5;36;150;Đen;Xe tay ga;NVX;Thái Lan,Nhật Bản,Việt Nam
NVX 155 VVA THẾ HỆ II;NVX 155 VVA THẾ HỆ II.png;53000000;5;36;150;Đỏ,Đen,Xanh;Xe tay ga;NVX;Thái Lan,Nhật Bản,Việt Nam
NVX 155 THẾ HỆ I;NVX 155 THẾ HỆ I.png;52240000;5;36;150;Xanh nhám,Xám,Đỏ;Xe tay ga;NVX;Thái Lan,Nhật Bản,Việt Nam
NVX 155 THẾ HỆ I PHIÊN BẢN DOXOU;NVX 155 THẾ HỆ I PHIÊN BẢN DOXOU.png;52740000;5;36;150;Đen-đồng;Xe tay ga;NVX;Thái Lan,Nhật Bản,Việt Nam
FREEGO S PHIÊN BẢN ĐẶC BIỆT;FREEGO S PHIÊN BẢN ĐẶC BIỆT.png;38990000;5;36;125;Xanh nhám,Đen,Đỏ,Trắng;Xe tay ga;FREEGO;Thái Lan,Nhật Bản,Việt Nam
FREEGO PHIÊN BẢN TIÊU CHUẨN;FREEGO PHIÊN BẢN TIÊU CHUẨN.png;32990000;5;36;125;Trắng,Đỏ;Xe tay ga;FREEGO;Thái Lan,Nhật Bản,Việt Nam
ACRUZO PHIÊN BẢN CAO CẤP (DELUXE);ACRUZO PHIÊN BẢN CAO CẤP (DELUXE).png;33490000;5;36;125;Xanh nhám,Đỏ,Đen;Xe tay ga;ACRUZO;Thái Lan,Nhật Bản,Việt Nam
YZF-R3;YZF-R3.png;129000000;5;36;175;Xanh bạc,Đen;Xe mô tô;YZF-R3;Thái Lan,Nhật Bản,Việt Nam
YZF-R15 PHIÊN BẢN GIỚI HẠN MONSTER ENERGY YAMAHA MOTOGP;YZF-R15 PHIÊN BẢN GIỚI HẠN MONSTER ENERGY YAMAHA MOTOGP.png;72000000;5;36;175;Đen;Xe mô tô;YZF-R15;Thái Lan,Nhật Bản,Việt Nam
YZF-R15;YZF-R15.png;70000000;5;36;175;Xanh bạc,Đen;Xe mô tô;YZF-R15;Thái Lan,Nhật Bản,Việt Nam
MT-03;MT-03.png;124000000;5;36;175;Đen;Xe mô tô;MT-03;Thái Lan,Nhật Bản,Việt Nam
MT-15;MT-15.png;69000000;5;36;175;Xanh,Đen;Xe mô tô;MT-15;Thái Lan,Nhật Bản,Việt Nam
TFX;TFX.png;72900000;5;36;150;Vàng,Đỏ;Xe mô tô;TFX;Thái Lan,Nhật Bản,Việt Nam
GSX150 - BANDIT;GSX150 - BANDIT.png;68900000;5;36;150;Đỏ,Đen;Xe mô tô;GSX;Thái Lan,Nhật Bản,Việt Nam
GSX-S150;GSX-S150.png;69400000;5;36;150;Đỏ,Đen;Xe mô tô;GSX;Thái Lan,Nhật Bản,Việt Nam
GSX-R150;GSX-R150.jpg;74900000;5;36;150;Đỏ,Đen;Xe mô tô;GSX;Thái Lan,Nhật Bản,Việt Nam
SATRIA F150;SATRIA F150.jpg;51990000;5;36;150;Xanh,Đen;Xe côn tay;Satria;Thái Lan,Nhật Bản,Việt Nam
RAIDER R150;RAIDER R150.jpg;49190000;5;36;150;Xanh,Đen;Xe côn tay;Raider;Thái Lan,Nhật Bản,Việt Nam
INTRUDER150;INTRUDER150.jpg;89990000;5;36;150;Bạc,Đen;Xe mô tô;Intruder;Thái Lan,Nhật Bản,Việt Nam
GZ150 - A;GZ150 - A.png;66990000;5;36;150;Đỏ,Đen;Xe mô tô;GZ150;Thái Lan,Nhật Bản,Việt Nam
GD110HU;GD110HU.jpg;28490000;5;36;150;Đen,Đỏ;Xe côn tay;GZ150;Thái Lan,Nhật Bản,Việt Nam
IMPULSE 125 Fi;IMPULSE 125 Fi.png;31990000;5;36;125;Đen,Trắng;Xe tay ga;Impulse;Thái Lan,Nhật Bản,Việt Nam
ADDRESS 110 Fi;ADDRESS 110 Fi.png;28790000;5;36;110;Vàng,Đen;Xe tay ga;Address;Thái Lan,Nhật Bản,Việt Nam
VIVA 115 Fi;VIVA 115 Fi.jpg;23990000;5;36;110;Xanh;Xe số;Viva;Thái Lan,Nhật Bản,Việt Nam
REVO 110;REVO 110.jpg;17690000;5;36;110;Xanh;Xe số;Revo;Thái Lan,Nhật Bản,Việt Nam
AXELO 125;AXELO 125.jpg;27790000;5;36;125;Xanh;Xe số;Axelo;Thái Lan,Nhật Bản,Việt Nam
Galaxy 50;Galaxy 50.png;16990000;5;36;50;Đen,Trắng;Xe số;Galaxy;Thái Lan,Nhật Bản,Việt Nam
New Galaxy 125;New Galaxy 125.png;25200000;5;36;125;Đen,Trắng;Xe số;Galaxy;Thái Lan,Nhật Bản,Việt Nam
Elegant 50;Elegant 50.jpg;15390000;5;36;50;Đen,Xanh;Xe số;Elegant;Thái Lan,Nhật Bản,Việt Nam
Angela 50;Angela 50.png;15900000;5;36;50;Trắng,Đen;Xe số;Angela;Thái Lan,Nhật Bản,Việt Nam
New Angel 125;New Angel 125.png;24700000;5;36;125;Đen;Xe số;Angela;Thái Lan,Nhật Bản,Việt Nam
Elegant 110;Elegant 110.jpg;24700000;5;36;110;Đen;Xe số;Elegant;Thái Lan,Nhật Bản,Việt Nam
Angel 110;Angel 110.png;17090000;5;36;110;Đỏ;Xe số;Angel;Thái Lan,Nhật Bản,Việt Nam
Attila 50;Attila 50.jpg;25190000;5;36;50;Đen;Xe tay ga;Attila;Thái Lan,Nhật Bản,Việt Nam
Passing 50;Passing 50.png;23700000;5;36;50;Đỏ,Đen;Xe tay ga;Passing;Thái Lan,Nhật Bản,Việt Nam
Elite 50;Elite 50.png;22390000;5;36;50;Đỏ;Xe tay ga;Elite;Thái Lan,Nhật Bản,Việt Nam
New Attila 125;New Attila 125.png;32990000;5;36;125;Đỏ;Xe tay ga;Attila;Thái Lan,Nhật Bản,Việt Nam
Attila-V 125 EFI;Attila-V 125 EFI.png;33690000;5;36;125;Đỏ;Xe tay ga;Attila;Thái Lan,Nhật Bản,Việt Nam
Elizabeth 110 EFI;Elizabeth 110 EFI.png;30890000;5;36;110;Xanh,Trắng;Xe tay ga;Elizabeth;Thái Lan,Nhật Bản,Việt Nam
Venus 125 EFI;Venus 125 EFI.png;35490000;5;36;125;Tím,Trắng;Xe tay ga;Venus;Thái Lan,Nhật Bản,Việt Nam
